Local Time (America/New_York),Reactive Power Mean,Apparent Power Mean,Active Power Mean
"9/25/2023, 4:45:00 PM",4352.2099609375,15098.865234375,14457.94140625
"9/25/2023, 5:00:00 PM",4341.44873046875,14996.333984375,14354.0517578125
"9/25/2023, 5:15:00 PM",4285.53662109375,14789.1611328125,14154.5673828125
"9/25/2023, 5:30:00 PM",4295.47705078125,14747.94140625,14108.4765625
"9/25/2023, 5:45:00 PM",4303.04638671875,14708.404296875,14064.8017578125
"9/25/2023, 6:00:00 PM",4294.1904296875,14620.8388671875,13975.9111328125
"9/25/2023, 6:15:00 PM",4314.59326171875,14538.2099609375,13883.1611328125
"9/25/2023, 6:30:00 PM",4323.54736328125,14420.158203125,13756.6875
"9/25/2023, 6:45:00 PM",4270.8359375,14227.5791015625,13571.33203125
"9/25/2023, 7:00:00 PM",4234.90869140625,14037.490234375,13383.35546875
